        4636           2          20
Tue Mar 13 17:52:45 2007
nirspec_doar24es_glue.dat

Full Nirspec spectrum of doar24es, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
april data much worse,  do not use
  4.6970720E+00  2.1023514E+00
  4.6971660E+00  2.0907393E+00
  4.6972599E+00  2.0917716E+00
  4.6973538E+00  2.0822105E+00
  4.6974478E+00  2.0783272E+00
  4.6975417E+00  2.0769143E+00
  4.6976357E+00  2.1017857E+00
  4.6977296E+00  2.1114988E+00
  4.6978235E+00  2.1164625E+00
  4.6979175E+00  2.1363285E+00
  4.6980114E+00  2.1477559E+00
  4.6981053E+00  2.1423142E+00
  4.6981993E+00  2.1169403E+00
  4.6982932E+00  2.1324394E+00
  4.6983871E+00  2.1698794E+00
  4.6984811E+00  2.1792367E+00
  4.6985755E+00  2.1796045E+00
  4.6986694E+00  2.2056351E+00
  4.6987634E+00  2.2738397E+00
  4.6988573E+00  2.3330290E+00
  4.6989512E+00  2.3594308E+00
  4.6990452E+00  2.3752947E+00
  4.6991391E+00  2.3851755E+00
  4.6992331E+00  2.4274359E+00
  4.6993270E+00  2.5260680E+00
  4.6994209E+00  2.5536435E+00
  4.6995149E+00           -NaN
  4.6996093E+00           -NaN
  4.6997032E+00           -NaN
  4.6997972E+00  2.4198840E+00
  4.6998911E+00  2.5040116E+00
  4.6999850E+00  2.7288766E+00
  4.7000790E+00  2.7761126E+00
  4.7001729E+00  2.6545503E+00
  4.7002668E+00  2.5381074E+00
  4.7003613E+00  2.4385555E+00
  4.7004552E+00  2.3874352E+00
  4.7005491E+00  2.3452559E+00
  4.7006431E+00  2.2945621E+00
  4.7007370E+00  2.2585988E+00
  4.7008309E+00  2.2141747E+00
  4.7009254E+00  2.1617177E+00
  4.7010193E+00  2.1301908E+00
  4.7011132E+00  2.1245329E+00
  4.7012072E+00  2.0736346E+00
  4.7013011E+00  2.0754967E+00
  4.7013950E+00  2.0923531E+00
  4.7014894E+00  2.0906212E+00
  4.7015834E+00  2.1055367E+00
  4.7016773E+00  2.0863061E+00
  4.7017713E+00  2.0828984E+00
  4.7018652E+00  2.0844269E+00
  4.7019596E+00  2.0707986E+00
  4.7020535E+00  2.0627704E+00
  4.7021475E+00  2.0631752E+00
  4.7022414E+00  2.0945728E+00
  4.7023358E+00  2.1198974E+00
  4.7024298E+00  2.1134777E+00
  4.7025237E+00  2.1044743E+00
  4.7026176E+00  2.1050727E+00
  4.7027116E+00  2.1014583E+00
  4.7028060E+00  2.1128278E+00
  4.7028999E+00  2.0874982E+00
  4.7029939E+00  2.0588522E+00
  4.7030878E+00  2.0610332E+00
  4.7031822E+00  2.0651207E+00
  4.7032762E+00  2.0669727E+00
  4.7033701E+00  2.0608356E+00
  4.7034645E+00  2.0713527E+00
  4.7035584E+00  2.0836289E+00
  4.7036524E+00  2.0974798E+00
  4.7037463E+00  2.1083846E+00
  4.7038407E+00  2.1074061E+00
  4.7039347E+00  2.0798914E+00
  4.7040286E+00  2.0827236E+00
  4.7041230E+00  2.1005900E+00
  4.7042170E+00  2.1031988E+00
  4.7043109E+00  2.0727713E+00
  4.7044053E+00  2.0935352E+00
  4.7044992E+00  2.0891120E+00
  4.7045932E+00  2.0690081E+00
  4.7046871E+00  2.0766828E+00
  4.7047815E+00  2.0854256E+00
  4.7048755E+00  2.0830259E+00
  4.7049694E+00  2.0729845E+00
  4.7050638E+00  2.0564907E+00
  4.7051578E+00  2.0800414E+00
  4.7052522E+00  2.0688319E+00
  4.7053461E+00  2.0321081E+00
  4.7054400E+00  1.9956748E+00
  4.7055345E+00  1.9806420E+00
  4.7056284E+00           -NaN
  4.7057223E+00           -NaN
  4.7058167E+00           -NaN
  4.7059107E+00           -NaN
  4.7060046E+00  2.0179074E+00
  4.7060990E+00  2.0336645E+00
  4.7061930E+00  2.0511687E+00
  4.7062874E+00  2.0541136E+00
  4.7063813E+00  2.0685833E+00
  4.7064753E+00  2.1031139E+00
  4.7065697E+00  2.1291547E+00
  4.7066636E+00  2.1205368E+00
  4.7067580E+00  2.1421981E+00
  4.7068520E+00  2.1656253E+00
  4.7069459E+00  2.1108985E+00
  4.7070403E+00  2.1122050E+00
  4.7071342E+00  2.1496739E+00
  4.7072287E+00           -NaN
  4.7073226E+00           -NaN
  4.7074170E+00           -NaN
  4.7075109E+00  2.2910240E+00
  4.7076054E+00  2.2850261E+00
  4.7076993E+00  2.2890923E+00
  4.7077932E+00  2.3347013E+00
  4.7078876E+00  2.3861575E+00
  4.7079816E+00  2.4210069E+00
  4.7080760E+00  2.4700341E+00
  4.7081699E+00  2.5585189E+00
  4.7082644E+00  2.6569369E+00
  4.7083583E+00           -NaN
  4.7084527E+00           -NaN
  4.7085466E+00           -NaN
  4.7086411E+00  2.6813726E+00
  4.7087350E+00  2.7211304E+00
  4.7088294E+00  2.8522704E+00
  4.7089233E+00  2.7932181E+00
  4.7090178E+00  2.6909504E+00
  4.7091117E+00  2.5869384E+00
  4.7092061E+00  2.5000856E+00
  4.7093000E+00  2.4229953E+00
  4.7093945E+00  2.3283744E+00
  4.7094884E+00  2.2807941E+00
  4.7095828E+00  2.2193842E+00
  4.7096767E+00  2.1900313E+00
  4.7097712E+00  2.1646295E+00
  4.7098651E+00           -NaN
  4.7099595E+00  2.1519494E+00
  4.7100539E+00  2.1498110E+00
  4.7101479E+00  2.1240163E+00
  4.7102423E+00  2.1115668E+00
  4.7103362E+00  2.1073310E+00
  4.7104306E+00  2.0940127E+00
  4.7105246E+00  2.0943177E+00
  4.7106190E+00  2.0879991E+00
  4.7107129E+00  2.1132364E+00
  4.7108073E+00  2.1322253E+00
  4.7109017E+00  2.1322262E+00
  4.7109957E+00  2.0931962E+00
  4.7110901E+00  2.0867949E+00
  4.7111840E+00  2.0750759E+00
  4.7112784E+00  2.0935073E+00
  4.7113729E+00  2.1089115E+00
  4.7114668E+00  2.0953934E+00
  4.7115612E+00  2.1140413E+00
  4.7116551E+00  2.1275768E+00
  4.7117496E+00  2.1193275E+00
  4.7118440E+00  2.0840716E+00
  4.7119379E+00  2.0830724E+00
  4.7120323E+00  2.0798221E+00
  4.7121267E+00  2.0751371E+00
  4.7122207E+00  2.0703917E+00
  4.7123151E+00  2.1073356E+00
  4.7124095E+00  2.1124172E+00
  4.7125034E+00  2.0930934E+00
  4.7125978E+00  2.1468670E+00
  4.7126923E+00  2.1202435E+00
  4.7127862E+00  2.0868943E+00
  4.7128806E+00  2.1093516E+00
  4.7129750E+00  2.1638787E+00
  4.7130690E+00  2.1657264E+00
  4.7131634E+00  2.1070788E+00
  4.7132578E+00  2.1234045E+00
  4.7133517E+00  2.0724063E+00
  4.7134461E+00  2.0487285E+00
  4.7135406E+00  2.0494471E+00
  4.7136345E+00  2.0659645E+00
  4.7137289E+00  2.1147645E+00
  4.7138233E+00  2.1537299E+00
  4.7139173E+00  2.1295125E+00
  4.7140117E+00  2.1176722E+00
  4.7141061E+00  2.1169517E+00
  4.7142005E+00  2.0997360E+00
  4.7142944E+00  2.1039422E+00
  4.7143888E+00  2.1373889E+00
  4.7144833E+00  2.1095762E+00
  4.7145777E+00  2.1236260E+00
  4.7146716E+00  2.1244082E+00
  4.7147660E+00  2.1863763E+00
  4.7148604E+00  2.2367563E+00
  4.7149549E+00  2.1938350E+00
  4.7150488E+00  2.1865814E+00
  4.7151432E+00  2.1803627E+00
  4.7152376E+00  2.1779239E+00
  4.7153320E+00  2.1718745E+00
  4.7154260E+00  2.1466477E+00
  4.7155204E+00  2.1430640E+00
  4.7156148E+00  2.0962987E+00
